id,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Fireplace,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,Compound Listing
20320744,1150,APARTMENT,APARTMENT,575000,residential_sale,3,160,1.0,0.0,0,1.0,40.0,1.0,290.0,290.0,,,0.0,GOOD,single
20324360,2640,APARTMENT,APARTMENT,235000,residential_sale,1,54,1.0,,0,1.0,12.0,,,,,,,,compound
20324359,2640,APARTMENT,APARTMENT,332800,residential_sale,2,95,1.0,,0,1.0,13.0,,,,,,,,compound
20324374,2640,APARTMENT,APARTMENT,380363,residential_sale,2,95,1.0,,0,1.0,13.0,,,,,,,,compound
20324335,2640,APARTMENT,APARTMENT,391388,residential_sale,2,98,1.0,,0,1.0,37.0,,,,,,,,compound
20324344,2640,APARTMENT,APARTMENT,424463,residential_sale,3,105,1.0,,0,1.0,14.0,,,,,,,,compound
20324342,2640,APARTMENT,APARTMENT,589050,residential_sale,3,127,1.0,,0,1.0,17.0,,,,,,,,compound
20324388,9230,APARTMENT,APARTMENT,330000,residential_sale,2,117,1.0,,0,1.0,15.0,,,,,2.0,,,compound
20324129,1000,APARTMENT,FLAT_STUDIO,399000,residential_sale,0,56,1.0,0.0,0,1.0,11.0,,,,,2.0,0.0,,compound
20324124,1000,APARTMENT,LOFT,499000,residential_sale,1,81,1.0,0.0,0,1.0,9.0,,,,,2.0,,AS_NEW,compound
20324136,1000,APARTMENT,APARTMENT,1410000,residential_sale,3,184,1.0,0.0,0,1.0,23.0,,,,,2.0,,AS_NEW,compound
20324115,1000,APARTMENT,APARTMENT,1485000,residential_sale,3,192,1.0,0.0,0,1.0,26.0,,,,,2.0,,AS_NEW,compound
20324724,1160,APARTMENT,GROUND_FLOOR,315000,residential_sale,2,77,1.0,0.0,0,,,1.0,80.0,80.0,,2.0,0.0,GOOD,single
20317705,9000,APARTMENT,APARTMENT,340000,residential_sale,2,85,1.0,0.0,0,1.0,12.0,,,,,2.0,0.0,AS_NEW,compound
20324844,8600,APARTMENT,APARTMENT,354500,residential_sale,2,110,1.0,,0,1.0,,,,,,,,GOOD,compound
20324829,8600,APARTMENT,APARTMENT,425600,residential_sale,3,133,1.0,0.0,0,1.0,,,,,,,,GOOD,compound
20318348,1080,APARTMENT,APARTMENT,346500,residential_sale,3,101,1.0,0.0,0,1.0,7.0,,,,,2.0,0.0,AS_NEW,compound
20318346,1080,APARTMENT,DUPLEX,406500,residential_sale,2,115,1.0,0.0,0,1.0,28.0,1.0,24.0,24.0,,2.0,0.0,AS_NEW,compound
20320287,1000,APARTMENT,APARTMENT,330000,residential_sale,2,92,1.0,,0,,,,,,,4.0,,,compound
20320054,1000,APARTMENT,GROUND_FLOOR,366000,residential_sale,2,99,1.0,,0,1.0,12.0,,,,,4.0,,AS_NEW,compound
20324886,8540,APARTMENT,APARTMENT,345000,residential_sale,2,112,1.0,0.0,0,1.0,9.0,,,,,,,GOOD,compound
20324889,8540,APARTMENT,APARTMENT,424000,residential_sale,3,119,1.0,0.0,0,1.0,21.0,,,,,,,GOOD,compound
20320301,1000,APARTMENT,GROUND_FLOOR,365000,residential_sale,2,100,1.0,,0,1.0,10.0,,,,,3.0,,,compound
20318960,1310,APARTMENT,APARTMENT,1939000,residential_sale,3,264,1.0,0.0,0,1.0,40.0,,,,,3.0,0.0,AS_NEW,compound
20318944,1310,APARTMENT,APARTMENT,2099000,residential_sale,3,300,1.0,0.0,0,1.0,43.0,,,,,,0.0,AS_NEW,compound
20315431,2660,APARTMENT,APARTMENT,229000,residential_sale,3,100,,,0,1.0,26.0,,,,,2.0,,AS_NEW,single
20316238,9800,APARTMENT,APARTMENT,272000,residential_sale,2,88,1.0,0.0,0,1.0,25.0,,,,,,,GOOD,compound
20316180,9800,APARTMENT,APARTMENT,280000,residential_sale,2,91,1.0,0.0,0,1.0,8.0,,,,,,,GOOD,compound
20316214,9800,APARTMENT,APARTMENT,297000,residential_sale,2,97,1.0,0.0,0,1.0,4.0,,,,,,,GOOD,compound
20316179,9800,APARTMENT,APARTMENT,355000,residential_sale,3,142,1.0,0.0,0,1.0,11.0,,,,,,,GOOD,compound
20315772,1730,APARTMENT,DUPLEX,325000,residential_sale,2,102,,0.0,0,1.0,34.0,,,,,2.0,,AS_NEW,compound
20324463,8370,APARTMENT,APARTMENT,299000,residential_sale,3,156,1.0,,0,1.0,,,,,,4.0,,GOOD,single
20313380,2160,APARTMENT,APARTMENT,249000,residential_sale,3,99,1.0,,0,1.0,4.0,,,,,,,GOOD,single
20313186,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313234,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313091,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313133,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313158,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313233,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313070,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313168,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313225,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313067,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313252,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313156,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313107,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313053,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313257,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313075,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313165,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313054,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313259,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313207,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313230,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313132,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313254,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313137,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313050,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313122,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313246,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313237,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313073,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313224,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313147,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313143,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313166,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313227,1070,APARTMENT,KOT,132350,residential_sale,0,17,,,0,,,,,,,2.0,,AS_NEW,compound
20313181,1070,APARTMENT,FLAT_STUDIO,199900,residential_sale,0,34,1.0,,0,1.0,9.0,,,,,2.0,,AS_NEW,compound
20313059,1070,APARTMENT,FLAT_STUDIO,199900,residential_sale,0,34,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313188,1070,APARTMENT,KOT,213600,residential_sale,0,34,,,0,,,,,,,2.0,,AS_NEW,compound
20313138,1070,APARTMENT,FLAT_STUDIO,234438,residential_sale,0,40,1.0,,0,1.0,5.0,,,,,2.0,,AS_NEW,compound
20313179,1070,APARTMENT,FLAT_STUDIO,241050,residential_sale,0,40,1.0,,0,1.0,5.0,,,,,2.0,,AS_NEW,compound
20313111,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313183,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313192,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313240,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313219,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313061,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313218,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313216,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313193,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313195,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313182,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313119,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313069,1070,APARTMENT,FLAT_STUDIO,258650,residential_sale,0,44,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313136,1070,APARTMENT,FLAT_STUDIO,288100,residential_sale,0,49,1.0,,0,1.0,6.0,,,,,2.0,,AS_NEW,compound
20313740,2180,APARTMENT,APARTMENT,419000,residential_sale,2,102,1.0,,0,1.0,51.0,,,,,2.0,,,compound
20323700,1180,HOUSE,TOWN_HOUSE,965000,residential_sale,4,245,1.0,,0,1.0,20.0,,,,293.0,3.0,,AS_NEW,single
20315988,8500,HOUSE,HOUSE,164500,residential_sale,3,120,1.0,,0,1.0,20.0,1.0,40.0,40.0,94.0,2.0,,GOOD,single
20315481,9600,HOUSE,HOUSE,229000,residential_sale,4,136,1.0,0.0,0,1.0,15.0,1.0,215.0,215.0,307.0,3.0,0.0,AS_NEW,single
20320358,9000,APARTMENT,APARTMENT,340000,residential_sale,2,72,,0.0,0,1.0,,,,,,,,GOOD,single
20312550,8790,APARTMENT,APARTMENT,345000,residential_sale,2,172,1.0,,0,1.0,25.0,,,,,,,GOOD,single
20323441,1150,HOUSE,HOUSE,1200000,residential_sale,5,250,,,1,,,1.0,400.0,400.0,480.0,3.0,,,single
20318981,8300,APARTMENT,APARTMENT,3850000,residential_sale,3,182,1.0,0.0,0,1.0,,,,,,2.0,,GOOD,single
20311469,9300,APARTMENT,APARTMENT,549000,residential_sale,4,180,1.0,,0,1.0,15.0,,,,,2.0,,GOOD,single
20324061,2100,HOUSE,HOUSE,349000,residential_sale,3,207,,,0,,,,,,75.0,2.0,,TO_RENOVATE,single
20319150,1430,HOUSE,COUNTRY_COTTAGE,650000,residential_sale,3,300,,,0,1.0,40.0,1.0,600.0,600.0,1315.0,4.0,,,single
20324750,2650,APARTMENT,DUPLEX,445000,residential_sale,2,215,1.0,,0,1.0,,,,,,,,GOOD,single
20323982,1420,APARTMENT,APARTMENT,322000,residential_sale,1,78,1.0,,0,1.0,8.0,,,,,3.0,0.0,AS_NEW,compound
20324078,1050,APARTMENT,FLAT_STUDIO,399000,residential_sale,0,56,1.0,0.0,0,1.0,11.0,,,,,2.0,0.0,,compound
20324194,1410,APARTMENT,GROUND_FLOOR,517750,residential_sale,2,117,1.0,0.0,0,1.0,32.0,1.0,80.0,80.0,,2.0,0.0,AS_NEW,compound
20317693,9051,APARTMENT,GROUND_FLOOR,235000,residential_sale,1,57,1.0,0.0,0,1.0,10.0,,,,,2.0,0.0,AS_NEW,compound
20317690,9051,APARTMENT,APARTMENT,360000,residential_sale,3,104,1.0,0.0,0,1.0,14.0,,,,,2.0,0.0,AS_NEW,compound
20319976,1000,APARTMENT,GROUND_FLOOR,357000,residential_sale,2,94,1.0,,0,1.0,6.0,,,,,4.0,,,compound
20319975,1000,APARTMENT,APARTMENT,374000,residential_sale,2,95,1.0,,0,1.0,6.0,,,,,4.0,,,compound
20317671,9940,APARTMENT,GROUND_FLOOR,360000,residential_sale,2,103,1.0,0.0,0,1.0,21.0,,,,,2.0,0.0,AS_NEW,compound
20317652,9940,APARTMENT,PENTHOUSE,445000,residential_sale,2,122,1.0,0.0,0,1.0,48.0,,,,,2.0,0.0,AS_NEW,compound
20320247,1000,APARTMENT,APARTMENT,354000,residential_sale,2,97,1.0,,0,1.0,5.0,,,,,3.0,,,compound
20320267,1000,APARTMENT,APARTMENT,359000,residential_sale,2,102,1.0,,0,1.0,9.0,,,,,3.0,,AS_NEW,compound
20320221,1000,APARTMENT,APARTMENT,364000,residential_sale,2,102,1.0,,0,1.0,9.0,,,,,3.0,,AS_NEW,compound
20320235,1000,APARTMENT,APARTMENT,364000,residential_sale,2,102,1.0,,0,1.0,9.0,,,,,3.0,,,compound
20320245,1000,APARTMENT,APARTMENT,366000,residential_sale,2,102,1.0,,0,1.0,9.0,,,,,3.0,,,compound
20320231,1000,APARTMENT,APARTMENT,374000,residential_sale,2,102,1.0,,0,1.0,9.0,,,,,3.0,,,compound
20320266,1000,APARTMENT,APARTMENT,379000,residential_sale,2,103,1.0,,0,1.0,8.0,,,,,3.0,,AS_NEW,compound
20320275,1000,APARTMENT,APARTMENT,379000,residential_sale,2,102,1.0,,0,1.0,9.0,,,,,3.0,,,compound
20317696,9051,APARTMENT,APARTMENT,390000,residential_sale,3,96,1.0,0.0,0,1.0,29.0,,,,,2.0,0.0,AS_NEW,compound
20320731,2140,APARTMENT,TRIPLEX,289900,residential_sale,3,174,1.0,,0,1.0,12.0,,,,,2.0,,GOOD,single
20315850,9051,APARTMENT,APARTMENT,255000,residential_sale,1,74,1.0,0.0,0,1.0,12.0,,,,,,,GOOD,compound
20315774,9051,APARTMENT,APARTMENT,320000,residential_sale,2,76,1.0,0.0,0,1.0,12.0,,,,,,,GOOD,compound
20315279,9051,APARTMENT,APARTMENT,355000,residential_sale,3,101,1.0,0.0,0,1.0,13.0,,,,,,,GOOD,compound
20315793,9051,APARTMENT,APARTMENT,390000,residential_sale,2,96,1.0,0.0,0,1.0,16.0,,,,,,,GOOD,compound
20318216,9500,APARTMENT,APARTMENT,205000,residential_sale,1,152,1.0,,0,,,,,,,,,GOOD,single
20324294,2650,APARTMENT,APARTMENT,348000,residential_sale,2,94,1.0,,0,1.0,27.0,1.0,60.0,60.0,,2.0,,JUST_RENOVATED,single
20314333,9000,APARTMENT,APARTMENT,260000,residential_sale,1,76,1.0,0.0,0,1.0,12.0,,,,,,,GOOD,compound
20314309,9000,APARTMENT,APARTMENT,325000,residential_sale,1,81,1.0,0.0,0,1.0,13.0,,,,,,,GOOD,compound
20314311,9000,APARTMENT,APARTMENT,365000,residential_sale,3,101,1.0,0.0,0,1.0,13.0,,,,,,,GOOD,compound
20314361,9000,APARTMENT,APARTMENT,400000,residential_sale,3,111,1.0,0.0,0,1.0,27.0,,,,,,,GOOD,compound
20314682,9600,HOUSE,HOUSE,380000,residential_sale,3,150,1.0,,0,1.0,,1.0,360.0,360.0,604.0,3.0,,GOOD,single
20316952,9860,HOUSE,HOUSE,199000,residential_sale,3,204,,,0,1.0,,,,,553.0,3.0,,TO_BE_DONE_UP,single
20310344,9700,APARTMENT,APARTMENT,300000,residential_sale,2,89,1.0,0.0,0,1.0,8.0,,,,,2.0,0.0,AS_NEW,compound
20317872,9500,HOUSE,HOUSE,299999,residential_sale,3,167,1.0,,0,1.0,,1.0,895.0,895.0,1050.0,2.0,,GOOD,single
20322401,9100,APARTMENT,APARTMENT,265000,residential_sale,3,108,1.0,0.0,0,1.0,,,,,,,,JUST_RENOVATED,single
20319713,9031,HOUSE,HOUSE,275000,residential_sale,4,117,,,0,,,1.0,407.0,407.0,407.0,4.0,,TO_RENOVATE,single
20321442,8870,APARTMENT,APARTMENT,285000,residential_sale,2,89,1.0,0.0,0,,,,,,,,,GOOD,single
20315281,8400,APARTMENT,APARTMENT,255000,residential_sale,1,90,,0.0,0,,,,,,,,,GOOD,single
20315686,9000,APARTMENT,APARTMENT,445000,residential_sale,2,105,1.0,,0,,,,,,,2.0,,JUST_RENOVATED,single
20319668,8420,APARTMENT,APARTMENT,209780,residential_sale,2,81,1.0,0.0,0,1.0,,,,,,,,TO_BE_DONE_UP,single
20319016,9000,APARTMENT,APARTMENT,435000,residential_sale,1,68,1.0,,0,,,,,,,,,GOOD,single
20316666,9600,HOUSE,HOUSE,280000,residential_sale,3,314,1.0,0.0,0,1.0,,,,,240.0,,,GOOD,single
20321515,8870,APARTMENT,APARTMENT,228000,residential_sale,2,85,1.0,0.0,0,1.0,,,,,,,,,compound
20321959,2490,APARTMENT,PENTHOUSE,245000,residential_sale,2,102,1.0,,0,1.0,14.0,,,,,2.0,,,compound
20321935,2490,APARTMENT,PENTHOUSE,298898,residential_sale,2,107,1.0,,0,1.0,14.0,,,,,2.0,,,compound
20321960,2490,APARTMENT,PENTHOUSE,402380,residential_sale,3,126,1.0,,0,1.0,25.0,,,,,3.0,,,compound
20321630,9052,APARTMENT,APARTMENT,390260,residential_sale,2,92,1.0,0.0,0,1.0,10.0,,,,,2.0,0.0,,compound
20321645,9052,APARTMENT,APARTMENT,419406,residential_sale,2,99,1.0,0.0,0,1.0,10.0,,,,,2.0,0.0,,compound
20321648,9052,APARTMENT,APARTMENT,463258,residential_sale,2,107,1.0,0.0,0,1.0,18.0,,,,,2.0,0.0,,compound
20321622,9000,APARTMENT,APARTMENT,575000,residential_sale,1,77,1.0,0.0,0,1.0,8.0,,,,,2.0,0.0,AS_NEW,compound
20318192,9400,APARTMENT,APARTMENT,299000,residential_sale,3,153,1.0,,0,1.0,6.0,,,,,2.0,,GOOD,single
20320688,1000,APARTMENT,FLAT_STUDIO,260000,residential_sale,0,40,,,0,1.0,3.0,,,,,3.0,,,compound
20320704,1000,APARTMENT,FLAT_STUDIO,265000,residential_sale,0,40,,,0,1.0,3.0,,,,,3.0,,AS_NEW,compound
20320690,1000,APARTMENT,FLAT_STUDIO,295000,residential_sale,0,50,,,0,1.0,4.0,,,,,3.0,,AS_NEW,compound
20320684,1000,APARTMENT,APARTMENT,341050,residential_sale,1,70,,,0,1.0,4.0,,,,,3.0,,AS_NEW,compound
20320691,1000,APARTMENT,APARTMENT,435000,residential_sale,2,84,,,0,1.0,4.0,,,,,3.0,,AS_NEW,compound
20318332,1070,APARTMENT,APARTMENT,322500,residential_sale,2,95,1.0,0.0,0,1.0,7.0,,,,,2.0,0.0,AS_NEW,compound
20318339,1070,APARTMENT,DUPLEX,406500,residential_sale,2,115,1.0,0.0,0,1.0,28.0,1.0,24.0,24.0,,2.0,0.0,AS_NEW,compound
20317565,9940,APARTMENT,APARTMENT,295000,residential_sale,1,75,1.0,0.0,0,1.0,17.0,,,,,2.0,0.0,AS_NEW,compound
20317569,9940,APARTMENT,APARTMENT,375000,residential_sale,2,113,1.0,0.0,0,1.0,9.0,,,,,2.0,0.0,AS_NEW,compound
20317712,9000,APARTMENT,APARTMENT,360000,residential_sale,3,104,1.0,0.0,0,1.0,14.0,,,,,2.0,0.0,AS_NEW,compound
20315980,2100,APARTMENT,APARTMENT,248000,residential_sale,3,91,1.0,,0,1.0,2.0,,,,,,,GOOD,single
20315324,2018,APARTMENT,APARTMENT,480000,residential_sale,2,116,1.0,,0,1.0,7.0,,,,,2.0,,JUST_RENOVATED,single
20315746,1190,APARTMENT,APARTMENT,329042,residential_sale,2,92,1.0,0.0,0,1.0,13.0,,,,,2.0,0.0,AS_NEW,compound
20315741,1190,APARTMENT,APARTMENT,333550,residential_sale,2,94,1.0,0.0,0,1.0,26.0,,,,,2.0,0.0,AS_NEW,compound
20318213,1760,APARTMENT,APARTMENT,399000,residential_sale,3,141,1.0,,0,1.0,65.0,,,,,,,JUST_RENOVATED,single
20321462,8660,APARTMENT,PENTHOUSE,1230000,residential_sale,2,132,1.0,,0,1.0,62.0,,,,,,,GOOD,single
20314448,7000,APARTMENT,APARTMENT,304000,residential_sale,2,107,1.0,,0,1.0,10.0,,,,,4.0,,,compound
20321967,9041,HOUSE,HOUSE,425000,residential_sale,4,194,1.0,,0,1.0,20.0,1.0,361.0,361.0,480.0,4.0,,TO_BE_DONE_UP,single
20319015,9100,APARTMENT,APARTMENT,425000,residential_sale,2,115,1.0,,0,1.0,,,,,,,,GOOD,single
20310307,9051,APARTMENT,APARTMENT,398000,residential_sale,2,94,1.0,0.0,0,1.0,3.0,,,,,2.0,0.0,AS_NEW,compound
20320828,2200,HOUSE,VILLA,649000,residential_sale,3,332,1.0,,1,1.0,,,,,1090.0,4.0,,GOOD,single
20323906,8420,APARTMENT,APARTMENT,299000,residential_sale,2,69,1.0,,0,1.0,,,,,,,,GOOD,single
20321043,7520,HOUSE,VILLA,473000,residential_sale,5,200,1.0,,0,1.0,,,,,712.0,4.0,,GOOD,single
20323812,8400,APARTMENT,APARTMENT,289000,residential_sale,2,100,,,0,1.0,,,,,,,,GOOD,single
20318953,9300,APARTMENT,APARTMENT,269000,residential_sale,2,91,1.0,,0,1.0,5.0,,,,,,,GOOD,single
